date,open,high,low,close,volume,average,barCount
2024-02-23,150.5525,150.77,150.2955,150.493,-1.0,-1.0,-1
2024-02-26,150.465,150.8405,150.294,150.706,-1.0,-1.0,-1
2024-02-27,150.71,150.71,150.0765,150.5135,-1.0,-1.0,-1
2024-02-28,150.495,150.847,150.373,150.693,-1.0,-1.0,-1
2024-02-29,150.6325,150.6645,149.208,149.9775,-1.0,-1.0,-1
2024-03-01,149.996,150.7255,149.953,150.113,-1.0,-1.0,-1
2024-03-04,150.08,150.571,149.8405,150.527,-1.0,-1.0,-1
2024-03-05,150.535,150.547,149.704,150.045,-1.0,-1.0,-1
2024-03-06,150.045,150.0885,149.0945,149.376,-1.0,-1.0,-1
2024-03-07,149.3525,149.377,147.587,148.0505,-1.0,-1.0,-1
2024-03-08,148.01,148.1195,146.4805,147.0635,-1.0,-1.0,-1
2024-03-11,147.107,147.1755,146.485,146.9465,-1.0,-1.0,-1
2024-03-12,146.9475,148.181,146.623,147.683,-1.0,-1.0,-1
2024-03-13,147.668,148.0485,147.234,147.761,-1.0,-1.0,-1
2024-03-14,147.72,148.359,147.434,148.316,-1.0,-1.0,-1
2024-03-15,148.3025,149.167,148.033,149.0475,-1.0,-1.0,-1
2024-03-18,149.03,149.334,148.9085,149.151,-1.0,-1.0,-1
2024-03-19,149.1475,150.964,149.002,150.8575,-1.0,-1.0,-1
2024-03-20,150.85,151.82,150.7175,151.2595,-1.0,-1.0,-1
2024-03-21,151.233,151.7555,150.265,151.6195,-1.0,-1.0,-1
2024-03-22,151.64,151.8655,151.005,151.41,-1.0,-1.0,-1
2024-03-25,151.37,151.547,151.0525,151.4155,-1.0,-1.0,-1
2024-03-26,151.4245,151.6055,151.207,151.5645,-1.0,-1.0,-1
2024-03-27,151.555,151.974,151.025,151.3275,-1.0,-1.0,-1
2024-03-28,151.2655,151.547,151.151,151.379,-1.0,-1.0,-1
2024-03-29,151.386,151.501,151.1755,151.3425,-1.0,-1.0,-1
2024-04-01,151.2975,151.776,151.226,151.647,-1.0,-1.0,-1
2024-04-02,151.6725,151.8035,151.4645,151.559,-1.0,-1.0,-1
2024-04-03,151.545,151.9545,151.444,151.694,-1.0,-1.0,-1
2024-04-04,151.6545,151.7715,151.121,151.3425,-1.0,-1.0,-1
2024-04-05,151.3425,151.7525,150.8125,151.626,-1.0,-1.0,-1
2024-04-08,151.59,151.944,151.586,151.8215,-1.0,-1.0,-1
2024-04-09,151.8275,151.9375,151.572,151.745,-1.0,-1.0,-1
2024-04-10,151.751,153.2405,151.683,153.1655,-1.0,-1.0,-1
2024-04-11,153.025,153.321,152.7595,153.2675,-1.0,-1.0,-1
2024-04-12,153.2055,153.387,152.5905,153.187,-1.0,-1.0,-1
2024-04-15,153.093,154.447,152.9795,154.276,-1.0,-1.0,-1
2024-04-16,154.26,154.7875,153.8885,154.72,-1.0,-1.0,-1
2024-04-17,154.6755,154.736,154.1605,154.389,-1.0,-1.0,-1
2024-04-18,154.335,154.68,153.957,154.641,-1.0,-1.0,-1
2024-04-19,154.6375,154.6755,153.591,154.617,-1.0,-1.0,-1
2024-04-22,154.597,154.8525,154.4665,154.8395,-1.0,-1.0,-1
2024-04-23,154.833,154.877,154.552,154.8305,-1.0,-1.0,-1
2024-04-24,154.8065,155.375,154.733,155.345,-1.0,-1.0,-1
2024-04-25,155.2425,155.748,155.2015,155.6515,-1.0,-1.0,-1
2024-04-26,155.6045,158.4435,154.9655,158.3285,-1.0,-1.0,-1
2024-04-29,157.88,160.2075,154.511,156.3405,-1.0,-1.0,-1
2024-04-30,156.2075,157.848,156.0605,157.802,-1.0,-1.0,-1
2024-05-01,157.711,157.989,153.014,154.5805,-1.0,-1.0,-1
2024-05-02,154.8995,156.286,153.059,153.656,-1.0,-1.0,-1
2024-05-03,153.685,153.8015,151.86,153.0365,-1.0,-1.0,-1
2024-05-06,152.8925,154.0085,152.801,153.9175,-1.0,-1.0,-1
2024-05-07,153.8675,154.749,153.861,154.693,-1.0,-1.0,-1
2024-05-08,154.6125,155.6875,154.5595,155.5255,-1.0,-1.0,-1
2024-05-09,155.475,155.9535,155.154,155.42,-1.0,-1.0,-1
2024-05-10,155.4675,155.906,155.267,155.7765,-1.0,-1.0,-1
2024-05-13,155.725,156.25,155.5025,156.218,-1.0,-1.0,-1
2024-05-14,156.1945,156.792,156.168,156.427,-1.0,-1.0,-1
2024-05-15,156.4375,156.5625,154.695,154.881,-1.0,-1.0,-1
2024-05-16,154.8225,155.536,153.598,155.388,-1.0,-1.0,-1
2024-05-17,155.375,155.9795,155.249,155.6645,-1.0,-1.0,-1
2024-05-20,155.5975,156.306,155.4965,156.2615,-1.0,-1.0,-1
2024-05-21,156.1975,156.551,155.845,156.171,-1.0,-1.0,-1
2024-05-22,156.15,156.848,156.109,156.795,-1.0,-1.0,-1
2024-05-23,156.7325,157.196,156.528,156.925,-1.0,-1.0,-1
2024-05-24,156.9375,157.1465,156.823,156.971,-1.0,-1.0,-1
2024-05-27,157.003,157.013,156.6645,156.878,-1.0,-1.0,-1
2024-05-28,156.875,157.2015,156.5795,157.1695,-1.0,-1.0,-1
2024-05-29,157.155,157.709,156.896,157.6465,-1.0,-1.0,-1
2024-05-30,157.5765,157.6755,156.373,156.832,-1.0,-1.0,-1
2024-05-31,156.78,157.365,156.5595,157.309,-1.0,-1.0,-1
2024-06-03,157.2075,157.4755,155.9505,156.083,-1.0,-1.0,-1
2024-06-04,156.0955,156.488,154.5495,154.884,-1.0,-1.0,-1
2024-06-05,154.877,156.4835,154.7975,156.1245,-1.0,-1.0,-1
2024-06-06,156.0325,156.446,155.353,155.6035,-1.0,-1.0,-1
2024-06-07,155.5925,157.078,155.123,156.7585,-1.0,-1.0,-1
2024-06-10,156.7925,157.197,156.708,157.051,-1.0,-1.0,-1
2024-06-11,157.03,157.404,156.805,157.1075,-1.0,-1.0,-1
2024-06-12,157.122,157.3725,155.7185,156.7415,-1.0,-1.0,-1
2024-06-13,156.6425,157.312,156.5815,157.034,-1.0,-1.0,-1
2024-06-14,157.0,158.2595,156.811,157.3995,-1.0,-1.0,-1
2024-06-17,157.383,157.962,157.1575,157.735,-1.0,-1.0,-1
2024-06-18,157.697,158.231,157.5185,157.8655,-1.0,-1.0,-1
2024-06-19,157.8675,158.1335,157.6045,158.0925,-1.0,-1.0,-1
2024-06-20,158.0325,158.9375,157.9235,158.919,-1.0,-1.0,-1
2024-06-21,158.8975,159.8485,158.6695,159.809,-1.0,-1.0,-1
2024-06-24,159.775,159.9295,158.7455,159.62,-1.0,-1.0,-1
2024-06-25,159.595,159.7575,159.1885,159.6925,-1.0,-1.0,-1
2024-06-26,159.6625,160.8735,159.612,160.812,-1.0,-1.0,-1
2024-06-27,160.775,160.826,160.2835,160.7675,-1.0,-1.0,-1
2024-06-28,160.732,161.2865,160.262,160.863,-1.0,-1.0,-1
2024-07-01,160.8325,161.7295,160.739,161.466,-1.0,-1.0,-1
2024-07-02,161.568,161.746,161.2705,161.4435,-1.0,-1.0,-1
2024-07-03,161.41,161.9525,160.771,161.6855,-1.0,-1.0,-1
2024-07-04,161.6445,161.6755,160.947,161.2765,-1.0,-1.0,-1
2024-07-05,161.304,161.3965,160.3395,160.761,-1.0,-1.0,-1
2024-07-08,160.755,161.1195,160.263,160.8365,-1.0,-1.0,-1
2024-07-09,160.803,161.518,160.7325,161.3195,-1.0,-1.0,-1
2024-07-10,161.265,161.807,161.259,161.691,-1.0,-1.0,-1
2024-07-11,161.63,161.7605,157.4225,158.8335,-1.0,-1.0,-1
2024-07-12,158.8825,159.448,157.366,157.916,-1.0,-1.0,-1
2024-07-15,158.1355,158.4265,157.164,158.0825,-1.0,-1.0,-1
2024-07-16,158.0165,158.8565,158.01,158.3825,-1.0,-1.0,-1
2024-07-17,158.3495,158.625,156.0575,156.197,-1.0,-1.0,-1
2024-07-18,156.1725,157.3995,155.3715,157.375,-1.0,-1.0,-1
2024-07-19,157.365,157.864,156.957,157.508,-1.0,-1.0,-1
2024-07-22,157.4225,157.614,156.287,157.036,-1.0,-1.0,-1
2024-07-23,156.9225,157.1035,155.5605,155.6135,-1.0,-1.0,-1
2024-07-24,155.5395,155.9915,153.107,153.899,-1.0,-1.0,-1
2024-07-25,153.8925,154.318,151.9425,153.9285,-1.0,-1.0,-1
2024-07-26,153.9145,154.7385,153.098,153.7675,-1.0,-1.0,-1
2024-07-29,153.7575,154.3555,153.015,154.027,-1.0,-1.0,-1
2024-07-30,153.965,155.2185,152.6465,152.7805,-1.0,-1.0,-1
2024-07-31,152.785,153.9015,149.611,149.979,-1.0,-1.0,-1
2024-08-01,149.96,150.8915,148.513,149.377,-1.0,-1.0,-1
2024-08-02,149.3645,149.78,146.4185,146.5495,-1.0,-1.0,-1
2024-08-05,146.4645,146.569,141.6895,144.183,-1.0,-1.0,-1
2024-08-06,144.1575,146.3735,143.63,144.333,-1.0,-1.0,-1
2024-08-07,144.3425,147.9075,144.305,146.682,-1.0,-1.0,-1
2024-08-08,146.66,147.5465,145.4325,147.242,-1.0,-1.0,-1
2024-08-09,147.271,147.8225,146.2685,146.7035,-1.0,-1.0,-1
2024-08-12,146.613,148.2255,146.613,147.2065,-1.0,-1.0,-1
2024-08-13,147.221,147.9485,146.598,146.8465,-1.0,-1.0,-1
2024-08-14,146.8625,147.584,146.073,147.337,-1.0,-1.0,-1
2024-08-15,147.2455,149.401,147.056,149.279,-1.0,-1.0,-1
2024-08-16,149.34,149.352,147.5715,147.6405,-1.0,-1.0,-1
2024-08-19,147.7,148.053,145.1875,146.5965,-1.0,-1.0,-1
2024-08-20,146.62,147.3465,145.1995,145.2565,-1.0,-1.0,-1
2024-08-21,145.225,146.904,144.457,145.2625,-1.0,-1.0,-1
2024-08-22,145.2095,146.528,144.848,146.287,-1.0,-1.0,-1
2024-08-23,146.2755,146.483,144.048,144.3835,-1.0,-1.0,-1
2024-08-26,144.237,144.654,143.4475,144.53,-1.0,-1.0,-1
2024-08-27,144.5605,145.1745,143.9185,143.97,-1.0,-1.0,-1
2024-08-28,144.0225,145.041,143.6845,144.601,-1.0,-1.0,-1
2024-08-29,144.53,145.555,144.223,144.989,-1.0,-1.0,-1
2024-08-30,144.9375,146.2485,144.653,146.1755,-1.0,-1.0,-1
2024-09-02,146.092,147.1745,145.777,146.889,-1.0,-1.0,-1
2024-09-03,146.8945,147.2115,145.124,145.4775,-1.0,-1.0,-1
2024-09-04,145.517,145.5615,143.709,143.74,-1.0,-1.0,-1
2024-09-05,143.6575,144.2305,142.85,143.4475,-1.0,-1.0,-1
2024-09-06,143.4425,144.0685,141.7665,142.354,-1.0,-1.0,-1
